"gene_symbol","log2FoldChange","padj","baseMean","regulation","ensembl_id"
"ADAMTS10",1.24522883703908,0.00229728338500309,822.714285714286,"Up-regulated","ENSG00000142303"
"CHPF",1.23811963089487,0.000442441026918382,940.571428571429,"Up-regulated","ENSG00000123989"
"CSPG4",1.2266679828071,0.00013987042537744,2614.82857142857,"Up-regulated","ENSG00000173546"
"LGALSL",-1.22330643462993,0.00140974083448962,3224.88571428571,"Down-regulated","ENSG00000119862"
"PLOD3",1.21861912515288,2.15216319236362e-05,988.857142857143,"Up-regulated","ENSG00000106397"
"CHST2",1.21851901641885,0.000184283289721012,258.971428571429,"Up-regulated","ENSG00000175040"
"CERS5",1.21500534670673,4.01388837330075e-05,703.714285714286,"Up-regulated","ENSG00000139624"
"SLC35D2",1.2127749904697,0.000197490360691381,254.714285714286,"Up-regulated","ENSG00000130958"
"AGRN",1.21256535408465,6.2929992180871e-05,1572.82857142857,"Up-regulated","ENSG00000188157"
"COLGALT1",1.19952708408281,1.214104448393e-05,2062.74285714286,"Up-regulated","ENSG00000130309"
"ACTB",1.19614024735273,0.00027304516727199,45761.2,"Up-regulated","ENSG00000075624"
"GALNT14",1.1919200281866,0.0414170927872504,23.2857142857143,"Up-regulated","ENSG00000158089"
"HAS3",-1.18971753139532,9.56670659354674e-06,105.257142857143,"Down-regulated","ENSG00000103044"
"NLGN2",1.17901396049837,8.70196426234238e-05,1037.62857142857,"Up-regulated","ENSG00000169992"
"CD34",1.17814033493022,0.00205778357548552,10667.6571428571,"Up-regulated","ENSG00000174059"
"PFKFB1",-1.17586249879686,0.0384171753662952,1528.17142857143,"Down-regulated","ENSG00000158571"
"HMMR",-1.17302180072028,0.0109242935939201,29.0285714285714,"Down-regulated","ENSG00000072571"
"FGFR1",1.15827142740552,8.00800180572103e-05,3871.62857142857,"Up-regulated","ENSG00000077782"
"NPL",1.15815804266688,0.000289925094211765,232.542857142857,"Up-regulated","ENSG00000135838"
"GBA1",1.14877947124921,0.000339889371242008,783.857142857143,"Up-regulated","ENSG00000177628"
"PAPSS1",1.14042933508007,0.000353913623197645,614.057142857143,"Up-regulated","ENSG00000138801"
"PGM2",1.12471244104748,4.74203230665472e-05,288.771428571429,"Up-regulated","ENSG00000169299"
"CHST7",1.12400233538902,0.00329533466204379,232.828571428571,"Up-regulated","ENSG00000147119"
"PYGB",1.12396689386415,2.04094851683839e-05,1796.77142857143,"Up-regulated","ENSG00000100994"
"EDEM2",1.12019541409648,0.00185616989427531,351.114285714286,"Up-regulated","ENSG00000088298"
"LGALS1",1.11863416879829,0.00111836681167311,16418.7142857143,"Up-regulated","ENSG00000100097"
"SDF2L1",1.11542017385132,0.00209141031864408,224.571428571429,"Up-regulated","ENSG00000128228"
"SLC26A7",-1.11362421283851,0.00981036635608904,20.3714285714286,"Down-regulated","ENSG00000147606"
